Approvals,,,,,,,,
Category Name,EAN,Description,Retailer Supplier,Other Suppliers,Status,Version in Workflow,Product Version Date,Account Manager
Liqueurs,8716000965233,Bols Apricot 50cl,MAXXIUM UK LIMITED,,Matched,A,19/12/2008,Sean.Roberts
Liqueurs,8716000965219,Bols Blue 21% ABV 50cl,MAXXIUM UK LIMITED,,Matched,A,19/12/2008,Sean.Roberts
Liqueurs,8716000965158,Bols Cherry 50 cl,MAXXIUM UK LIMITED,,Matched,A,19/12/2008,Sean.Roberts
Cocktail/Mixers,8716000964991,Bols Creme de Bananes Liqueur 50cl,MAXXIUM UK LIMITED,,Matched,A,19/12/2008,Sean.Roberts
Cocktail/Mixers,8716000964977,Bols Creme de Cacao Brown Liqueur 50cl,MAXXIUM UK LIMITED,,Matched,A,19/12/2008,Sean.Roberts
Cocktail/Mixers,8716000964953,Bols Creme de Cacao White Liqueur 50cl,MAXXIUM UK LIMITED,,Matched,A,20/08/2010,Sean.Roberts
Cocktail/Mixers,8716000964915,Bols Creme de Cassis Liqueur 50cl,MAXXIUM UK LIMITED,,Matched,A,22/03/2013,Sean.Roberts
Cocktail/Mixers,8716000964892,Bols Orange Curacao Liqueur 24% ABV 50cl,MAXXIUM UK LIMITED,,Matched,A,03/06/2013,Sean.Roberts
Cocktail/Mixers,8716000965363,Bols Raspberry Liqueur 50cl,MAXXIUM UK LIMITED,,Matched,A,20/08/2010,Sean.Roberts
Cocktail/Mixers,8716000965325,Bols Strawberry Liqueur 50cl,MAXXIUM UK LIMITED,,Matched,A,20/08/2010,Sean.Roberts
Cocktail/Mixers,8716000965059,Bols Triple Sec Liqueur 50cl,MAXXIUM UK LIMITED,,Matched,A,19/12/2008,Sean.Roberts
Cognac/Armagnac,3049197110120,Courvoisier Trade Kit 2x1.5lt,BEAM GLOBAL DISTRIBUTION UK LT,MAXXIUM UK LIMITED,Matched,A,23/07/2013,Sean.Roberts
Fractionals,3049197110144,Courvoisier VS Cognac 20cl,BEAM GLOBAL DISTRIBUTION UK LT,MAXXIUM UK LIMITED,Matched,A,24/08/2011,Sean.Roberts
Fractionals,3049197110199,Courvoisier VS Cognac 5cl,BEAM GLOBAL DISTRIBUTION UK LT,MAXXIUM UK LIMITED,Matched,A,17/11/2008,Sean.Roberts
Cognac/Armagnac,3049197110281,Courvoisier VS Cognac Glass Gift Pack 70cl,MAXXIUM UK LIMITED,,Matched,A,02/11/2011,Sean.Roberts
